,metrics,baseline,linear,svm,random_forest,NN,LSTM,BiLSTM
0,mse,0.59780557975173,0.5204622104763985,0.5489309698343277,0.5333192639052868,0.6666448384523391,0.555291298031807,0.5084556952118874
1,root_mse,0.7286744534969329,0.6711841732263565,0.6951815843582153,0.688868659734726,0.7686368614435196,0.6968004077672958,0.6463285923004151
2,r2_score,-0.54437273792827,-0.3606440822231683,-0.4528670688839867,-0.4403175989752365,-0.7613105644842459,-0.42980930431243725,-0.31319430055073977
3,adj_r2_score,-1.9448207473296903,-1.5784671449234025,-1.7490426292868229,-1.7467799280835046,-2.3678164779159494,-1.7085489735236057,-1.443780524048997
4,accuracy,0.5091862623024799,0.5309451691307716,0.5164129711856896,0.5250495130726268,0.4663151546088831,0.5242706111836559,0.4858398704818507
5,bal_accuracy,0.3234615536493021,0.2853460315440236,0.2824966703069557,0.287236657932891,0.27541183804579206,0.27911210370782685,0.4701795902271836
