,metrics,baseline,linear,svm,random_forest,NN,LSTM,BiLSTM
0,mse,0.59780557975173,2.561642190392525e+18,0.5527937702834607,0.5408894404768944,0.7343006938695907,0.5837350562214851,0.5130665540695191
1,root_mse,0.7286744534969329,357885619.85088235,0.6948054790496826,0.6981589496135712,0.814966282248497,0.7176176398992539,0.6496871784329414
2,r2_score,-0.54437273792827,-9.546979464202904e+18,-0.4558326844267725,-0.5786017300601306,-1.0798319299330255,-0.5309736795169009,-0.33838565920945707
3,adj_r2_score,-inf,-inf,-inf,-inf,-inf,-inf,-inf
4,accuracy,0.5091862623024799,0.5300537133704905,0.5219638551674303,0.5189479760423775,0.4541730074600577,0.5151673926671456,0.4919635195121221
5,bal_accuracy,0.3234615536493021,0.29101715763334823,0.2932749277912142,0.2981556187827798,0.29933790416225114,0.2768879257397505,0.4792320229929531
