,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,nmbr_moods,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday
0,6.25,-0.018161263390184305,0.450333549564036,-1.8631453465352652,-2.0424488797654963,-0.46406950730148316,1.6489468735790611,-0.7726761261745837,-1.733435066778529,-0.9345342204113499,-0.4681805012436901,-0.30956411828378055,-0.3243311448354436,-0.7698523790438044,-1.1198296278970528,-0.42053560104676124,-0.21694460575459532,-1.1340234768135375,-0.14586499149789453,-1.4528691732398529,0,0,0,0,0,0,1
1,6.333333333333333,0.5153258486964823,-0.642934881712291,-1.8631453465352652,-2.0424488797654963,-0.8679818562490703,-0.5038448780380465,-0.7726761261745837,-1.733435066778529,-0.9345342204113499,-0.4681805012436901,-0.30956411828378055,-0.3243311448354436,-0.7698523790438044,-1.1198296278970528,-0.42053560104676124,-0.21694460575459532,-1.1340234768135375,-0.14586499149789453,-3.4612471480125895,0,0,0,0,1,0,0
2,6.2,0.9421155383658157,-0.9927807797207154,0.9569735494756573,1.1302855755930072,1.5554922374364526,-0.5038448780380465,0.4437704411815307,0.21633621136405745,-0.09125290888519899,-0.2780201693723562,-0.30956411828378055,3.9865211434083516,0.6417018414944723,1.9440267524413088,2.4930054497244534,-0.21694460575459532,1.691073392638622,-0.14586499149789453,0.5555088015328838,1,0,0,0,0,0,0
3,6.4,1.7956949177044825,-1.5175496267333524,3.120292655293492,-0.9585428429013846,0.34375519059369114,0.5725509977705073,-0.489247483654467,-0.19280070251218315,-0.8564182678368788,-0.3872863636181404,-0.30956411828378055,-0.3243311448354436,-0.19202719430510426,-0.8210674435339799,-0.30180684191975726,-0.21694460575459532,-0.5790531235769286,-0.14586499149789453,0.5555088015328838,0,0,1,0,0,0,0
4,6.8,0.9421155383658157,0.5815257613171954,1.139813293104499,-0.8470719758343741,-0.8679818562490703,-0.5038448780380465,-0.2742559682003581,-0.10761863619775869,-0.8555628126106656,-0.30159062387788377,-0.30956411828378055,-0.3243311448354436,-0.3411008284673358,-0.5076434644707183,-0.42053560104676124,-0.21694460575459532,-0.9920689104735421,6.709789608903148,0.5555088015328838,0,0,0,1,0,0,0
5,6.0,2.222484607373816,-1.5175496267333524,-0.20197866502188208,0.6129544203982914,3.171141633226801,-0.5038448780380465,-0.4367307887533573,1.1444383165343026,-0.11677008361230848,-0.3372744726871804,-0.30956411828378055,-0.24898147416419045,-0.37798654402919923,1.0708606433516172,0.9155567920724423,-0.21694460575459532,-0.2907135136718743,-0.14586499149789453,0.5555088015328838,0,1,0,0,0,0,0
6,6.75,1.5823000728698156,-0.20562750920176012,0.20642927500125707,1.7473031194157946,-0.8679818562490703,0.5725509977705073,-0.37247866028491317,1.4567679032500984,-0.8774430470658614,-0.30293015955976454,-0.30956411828378055,-0.3243311448354436,0.28295955568194886,0.18459168079196897,-0.42053560104676124,6.367798879234475,-0.08234897188697293,-0.14586499149789453,-1.4528691732398529,0,0,0,0,0,1,0
7,6.6,0.08853615902714901,0.05675691430455825,0.26815857462804826,0.855856302056465,-0.8679818562490703,-0.5038448780380465,-0.32027119028017886,1.0569357924019387,-0.17242656981716187,-0.2673230749729252,-0.30956411828378055,-0.3243311448354436,-0.19582468617061147,2.000811220731137,-0.42053560104676124,-0.21694460575459532,-0.9765976273841035,-0.14586499149789453,0.5555088015328838,0,0,0,0,0,0,1
8,7.0,0.9421155383658157,0.5815257613171954,1.4926071618505166,1.0355641650967413,-0.060157158353896,0.5725509977705073,-0.296312073309128,0.41986038467682035,-0.39938168726864426,-0.3061350658473586,-0.30956411828378055,4.24298538793559,-0.42524029552153997,-0.4841696423370491,-0.26995169783445555,-0.21694460575459532,-0.2893121806198576,-0.14586499149789453,0.5555088015328838,0,0,0,0,1,0,0
9,6.4,-0.7650432203115176,0.05675691430455825,0.15013022056961553,-1.1736016695557996,1.1515798884888655,-0.5038448780380465,3.1265781296447956,-1.4643448444778402,-0.0929713527006741,-0.12594256826211084,3.091857061356628,-0.3243311448354436,0.5604531783254835,-0.7713845165937209,3.185435519439168,-0.21694460575459532,0.2895657637769174,-0.14586499149789453,0.5555088015328838,1,0,0,0,0,0,0
