,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather
0,6.25,-0.25,0.75,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6.333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,6.2,0.2,0.2,0.13405010398938863,17978.907000064843,6.0,0.0,3139.218,6280.889999999999,1007.4560000000001,49.544,0.0,172.20600000000002,239.751,4508.500000000001,915.4450000000002,0.0,598.754,0.0
3,6.4,0.6,0.0,0.23688021923995814,6142.160999536513,3.0,1.0,731.4290000000002,4962.918,93.324,21.076,0.0,0.0,98.14300000000001,439.6319999999999,37.305,0.0,117.62100000000001,0.0
4,6.8,0.2,0.8,0.14274111580506368,6773.832001447676,0.0,0.0,1286.2459999999999,5237.319,94.346,43.403000000000006,0.0,0.0,72.82300000000001,900.8389999999999,0.0,0.0,30.086,30.386
5,6.0,0.8,0.0,0.07896105611559796,15047.351000547405,10.0,0.0,866.9559999999999,9270.629,976.971,34.106,0.0,3.01,66.55799999999999,3223.6259999999997,419.805,0.0,178.732,0.0
6,6.75,0.5,0.5,0.0983741123905068,21475.35499906539,0.0,1.0,1032.768,10276.751,68.206,43.053999999999995,0.0,0.0,178.819,1919.471,0.0,235.223,222.893,0.0
7,6.6,-0.2,0.6,0.10130832167007592,16423.80100035667,0.0,0.0,1167.497,8988.752999999999,910.479,52.331,0.0,0.0,97.49799999999999,4592.059,0.0,0.0,33.365,0.0
8,7.0,0.2,0.8,0.15951064096909748,17442.14999938011,2.0,1.0,1229.327,6936.512,639.3389999999999,42.218999999999994,0.0,182.45100000000002,58.532000000000004,935.381,47.314,0.0,179.02899999999997,0.0
9,6.4,-0.6,0.6,0.09569802163712014,4923.488999605181,5.0,0.0,10062.595,866.8330000000001,1005.403,89.16600000000001,233.036,0.0,225.951,512.741,1133.0089999999998,0.0,301.717,0.0
10,8.0,0.2,1.0,0.06820281010186964,8322.6219997406,4.0,1.0,1952.6299999999999,2720.692,1627.429,0.0,0.0,0.0,169.594,472.88800000000003,52.435,0.0,600.637,0.0
11,7.5,-0.5,0.75,0.049092970521542004,4523.2140009403265,0.0,0.0,414.36500000000007,1298.505,1535.6770000000001,0.0,0.0,0.0,74.003,167.685,0.0,66.477,38.296,0.0
12,7.4,0.0,0.6,0.07050548088338955,11836.834000349041,6.0,0.0,2961.4049999999997,5332.637000000001,1758.92,41.255,51.176,0.0,268.55400000000003,1350.655,183.381,29.29,210.305,0.0
13,6.0,0.2,0.0,0.118443242712736,17173.906002044678,1.0,0.0,1385.517,6095.526,1030.637,547.8259999999999,234.741,92.388,121.19,5040.067000000001,1614.6209999999999,0.0,517.636,0.0
14,6.5,0.0,0.0,0.10191661063822348,21358.510999917988,4.0,0.0,3614.349,6920.155999999999,1343.376,247.77700000000002,0.0,90.481,541.541,3428.792,0.0,0.0,341.371,0.0
15,6.4,-1.2,0.0,0.04923847270844107,21401.835000753403,4.0,0.0,2321.464,14438.081999999999,1293.6309999999999,76.234,0.0,0.0,213.90200000000002,3154.241,19.082,0.0,182.77200000000002,0.0
16,6.2,0.2,0.4,0.12668931120732582,12379.411000013357,2.0,1.0,1957.8290000000002,5481.628,1545.227,0.0,0.0,0.0,176.80100000000002,2086.197,158.24099999999999,0.0,128.692,0.0
17,6.8,-0.4,0.6,0.1190023022034455,3340.4309999942784,0.0,0.0,15159.189999999999,1885.409,76.369,0.0,0.0,0.0,81.133,363.20799999999997,187.94500000000002,0.0,118.956,0.0
18,6.5,-0.75,0.5,0.06440779944246813,7467.321999788283,4.0,0.0,4548.662,3355.743,187.214,0.0,114.406,0.0,119.12,321.46,0.0,0.0,46.249,0.0
19,6.5,0.0,0.25,0.050670621174317886,9846.380999803541,1.0,0.0,927.377,7355.014999999999,447.12100000000004,46.128,0.0,17.107,170.348,1475.418,60.247,0.0,205.81100000000004,0.0
20,6.6,-0.4,0.0,0.0753270582613485,15101.13200187683,1.0,0.0,892.6890000000001,9477.553,3466.4790000000003,19.131,0.0,0.0,209.51399999999995,2655.121,0.0,0.0,36.143,0.0
21,7.4,-0.8,0.0,0.12038411453232876,13558.28900098801,4.0,0.0,1638.6170000000002,6177.076,940.7699999999999,0.0,0.0,0.0,346.654,2826.3500000000004,0.0,0.0,577.359,0.0
22,7.4,-0.4,0.8,0.07896310519489107,9296.09899926186,7.0,0.0,715.3549999999999,4881.411,1858.893,0.0,1.059,23.195,107.91900000000001,1174.717,0.0,0.0,377.687,0.0
23,7.0,-1.2,0.8,0.07998620207306052,10526.846000194553,0.0,0.0,3369.031,3336.5920000000006,1976.138,94.093,0.0,0.0,51.452,596.807,34.234,0.0,214.648,0.0
24,7.25,-0.75,0.75,0.07224906147031816,11750.809000968926,0.0,0.0,302.4459999999999,6595.083,2186.482,0.0,0.0,0.0,79.033,264.432,5.031,0.0,352.392,0.0
25,8.0,-1.25,1.0,0.014021328954370723,2005.7509992122657,0.0,0.0,447.41499999999985,1096.7949999999998,249.392,82.413,0.0,0.0,94.20899999999999,34.501999999999995,0.0,0.0,0.0,0.0
26,7.2,-1.2,0.6,0.08388731446988419,17985.44799923897,1.0,1.0,961.5809999999999,6486.284000000001,6265.5560000000005,89.32300000000001,0.0,0.0,145.09600000000003,2921.985,29.104,0.0,986.014,0.0
27,6.4,0.0,0.8,0.09011215278072526,13585.222998380666,8.0,1.0,1596.356,6224.231,944.5219999999999,13.043,0.0,0.0,110.415,4428.210000000001,8.363,0.0,279.79299999999995,0.0
28,7.2,0.0,0.0,0.11611033612712222,12522.474998950958,0.0,1.0,923.613,5175.0160000000005,426.734,0.0,0.0,0.0,40.784,1912.8519999999999,0.0,0.0,223.58700000000002,0.0
29,6.6,-0.4,0.6,0.05691785667209682,15018.480000734338,2.0,0.0,552.201,11853.339,142.241,0.0,0.0,0.0,53.763000000000005,2107.1459999999997,0.0,0.0,49.718,0.0
30,6.8,-0.8,0.8,0.09403300669497609,13490.728999614706,1.0,0.0,1860.8979999999997,5341.656999999999,774.354,119.163,0.0,0.0,47.788999999999994,1993.9220000000003,63.873999999999995,0.0,88.68,0.0
31,7.8,-0.2,1.0,0.09943191172384026,13293.2480006218,1.0,0.0,946.1899999999999,2728.26,469.274,95.629,29.084,0.0,31.482,396.672,128.89,0.0,305.796,0.0
