,labels,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,FH
0,7.0,-0.18620780760542524,-0.23072762557183496,0.0036277489464421843,-0.09003902582709379,-0.7951989941419263,-0.9337217843594983,1.4643405743076203,-0.985869759748669,-1.7187829130620278,-0.4284526363322074,0.0,-0.32237785572921496,-0.46533173485007173,0.08066804104383574,-0.07230899963273289,-0.5234123802242173,5.397869086167938,-0.366345426936459,0.0,1.505014075232519
1,5.8,-0.18620780760542524,-1.2186318252033537,0.0036277489464421843,-2.098150555494783,4.09045705364096,-0.10857230050691838,-0.5229787765384357,-0.2276623579869861,1.3969620772286562,-0.241298530341177,0.0,-0.32237785572921496,-0.46533173485007173,-0.5299957524173908,5.982497490909217,-0.5234123802242173,0.11849795085096633,0.3798754243492927,0.0,0.24092321766950597
2,6.2,-2.6122295295503957,-0.7246797253875944,-3.304879290208959,-0.2988529243924146,-0.049537136972690535,-0.9337217843594983,-0.5229787765384357,1.6284104043174183,-0.8412712301344926,-0.25567054711149645,0.0,-0.32237785572921496,-0.46533173485007173,0.4794839080849307,0.06807060507710015,-0.36743000496885797,0.1322765438830027,-0.2601949653065266,0.0,-1.0614734234560226
3,7.0,-1.803555622235405,-1.2186318252033537,-1.099207930772025,-1.3523610678840676,1.648581966402636,-0.9337217843594983,-0.5229787765384357,1.0438326559918176,0.15611595623330557,4.894351502708692,0.0,-0.32237785572921496,-0.46533173485007173,0.11251014013656253,-0.22512235104446812,0.1965050468466482,0.08253225817874471,-0.366345426936459,0.0,-0.14213461795564933
4,7.0,-0.18620780760542524,-0.8481677503415342,0.6929000487704842,0.35106091482915597,-0.024507508530347555,-0.10857230050691838,1.4643405743076203,-0.6475533494311556,0.7408857539156802,0.31068571780600507,0.0,-0.2387441270470529,-0.46533173485007173,1.5432150534906983,-0.19151854673790583,-0.4352704654259606,-0.2731867433387665,-0.366345426936459,0.0,-1.367919691956147
5,7.0,-0.18620780760542524,1.6215927487372626,0.6929000487704842,-0.2883098326576285,-0.40112489176266697,-0.9337217843594983,-0.5229787765384357,-0.3006747368553541,-0.8203666469868294,0.9633110075830581,0.0,0.46086445834880974,-0.46533173485007173,-0.4598419549122393,-0.22163853051547636,-0.35515814098241233,1.5270316188070385,-0.366345426936459,0.0,0.7005926204196925
6,7.25,-0.18620780760542524,1.251128673875443,0.5550455888056757,0.35581697758259323,-0.9967257389795299,-0.9337217843594983,-0.5229787765384357,-1.1753517972380354,-0.5141186554395869,-0.2974543539519406,0.0,-0.2466783181478659,-0.46533173485007173,-0.5702373561295679,-0.22512235104446812,-0.49938347191124516,-0.4500472546508553,-0.366345426936459,0.0,0.5090637026071146
7,7.0,0.31921338446644354,0.3867124991978642,1.382172348594526,0.2479745338006182,-0.15771917124071339,-0.9337217843594983,-0.5229787765384357,0.3996762502856259,-0.21833888589393977,-0.4418429776812781,0.0,1.289386564611705,-0.46533173485007173,-0.3798030807469127,-0.20270520472442405,-0.299457846459218,-0.192902811375926,-0.366345426936459,0.0,-0.3719693193307426
8,7.5,-0.18620780760542524,-0.23072762557183496,0.5550455888056757,0.5231840695228063,-0.6413667053375953,-0.10857230050691838,-0.5229787765384357,-0.5542969244619546,-1.2169802313929419,0.23442740551065402,0.0,-0.013899741328718615,-0.46533173485007173,-0.1457144010179827,-0.10454183682210554,-0.5234123802242173,0.11524398107655329,1.3337513564097798,0.0,-1.099779207018538
9,7.5,0.8246345765383123,-0.8481677503415342,1.382172348594526,0.06255179883303123,0.7251140426268236,-0.10857230050691838,-0.5229787765384357,1.237463577429555,1.6985337641169431,0.8262601211464017,0.0,-0.008419677773531194,-0.46533173485007173,-0.4486051415303237,-0.1610096263021523,-0.3870091154460946,-0.4354872943545171,-0.366345426936459,0.0,-0.3719693193307426
10,7.0,0.8246345765383123,-0.23072762557183496,2.76071694824261,1.7422484990676042,-0.3878187688755438,-0.9337217843594983,-0.5229787765384357,-0.19505372587737857,0.33569580648995323,-0.431685841416113,0.0,-0.26357130673527684,-0.3482436078259911,-0.6127836040346534,-0.17870601356344334,0.9114418930215512,0.39548124678874946,0.8717012037977928,0.0,-1.099779207018538
11,7.0,-0.18620780760542524,1.0041526239675633,0.0036277489464421843,1.1929753780413512,-0.039391106377625225,1.5417266671982413,1.4643405743076203,0.2463191380324406,-0.2328515055865363,0.661266923983952,0.0,-0.2088259924900762,-0.46533173485007173,-0.46712527297136086,-0.21715953042337566,4.285410310128815,-0.3703042692556083,0.41112927379471054,0.0,-0.14213461795564933
12,7.0,-0.18620780760542524,1.0041526239675633,0.0036277489464421843,-0.23145352177513884,0.49727641679613716,-0.10857230050691838,-0.5229787765384357,0.9422773233225898,0.32677283598142254,1.550148765141557,0.0,-0.02797738677987105,-0.46533173485007173,-0.5203381957994891,-0.21344525454353877,0.08813351300862117,-0.16212274442063523,-0.22517516778604157,0.0,-0.7550271549558983
13,6.5,-0.18620780760542524,2.239032873506962,0.0036277489464421843,2.1683855949672677,0.06822518597269202,-0.10857230050691838,1.4643405743076203,0.04898727533636078,1.5982927542653762,-0.027462206285697042,0.0,-0.2754147152127077,-0.46533173485007173,-0.6837189998026729,-0.21863638243149416,-0.30287002327496143,-0.4500472546508553,-0.366345426936459,0.0,-0.5634982371433205
14,7.0,-1.1970501917491627,1.6215927487372626,0.0036277489464421843,0.1753821914220735,-0.8344713466921646,-0.10857230050691838,-0.5229787765384357,-0.8835507588801532,-0.12353884123397892,-0.6091513669850647,0.0,-0.12573199521167838,-0.46533173485007173,-0.25222054786562975,-0.22512235104446812,-0.5234123802242173,-0.42201959015443097,-0.366345426936459,0.0,-0.6401098042683517
15,5.75,-0.18620780760542524,-0.23072762557183496,-1.099207930772025,-0.9814584658999481,0.309261128089313,3.192025634903401,-0.5229787765384357,-0.4080476254785623,1.2727375670089436,0.9668591297281687,0.0,-0.30488563046699607,-0.46533173485007173,-0.5167781763145087,-0.1790280512709306,-0.2369930610556902,-0.3768868221241022,-0.366345426936459,0.0,0.7005926204196925
16,6.6,-2.713313767964769,-0.8481677503415342,-2.0641891505256837,0.05330200717272835,-0.21082490893060526,0.7165771833456615,1.4643405743076203,0.1300181702972552,-0.047081477293160964,0.4517566775630546,0.0,-0.32237785572921496,-0.46533173485007173,-0.571101932290206,-0.16558436109955899,2.1420923495328634,-0.1691633401682026,-0.366345426936459,0.0,0.5856752697321459
17,7.2,-0.994881714920416,0.2632244742439244,-1.099207930772025,-1.9394323176477553,0.4542248243129841,-0.9337217843594983,-0.5229787765384357,-0.26396395273195794,-0.3648196519200421,-0.41627357974415885,0.0,-0.2853539550167378,-0.46533173485007173,-0.4298735502852914,-0.04736330366242538,-0.01279508543600044,-0.3176811529674907,0.6598578256311602,0.0,2.6158817985454696
18,7.0,0.21812914605207012,-1.2186318252033537,0.5550455888056757,0.045787076022657934,-0.38944600126391365,-0.9337217843594983,-0.5229787765384357,-1.074479206735037,0.9435043819000708,-0.2367661862756706,0.0,-0.2687199073353532,-0.46533173485007173,-0.44082930949734006,-0.20458829484349172,-0.5234123802242173,-0.4500472546508553,-0.366345426936459,0.0,1.4667082916700032
