,labels,mood
0,7.0,-0.18620780760542524
1,5.8,-0.18620780760542524
2,6.2,-2.6122295295503957
3,7.0,-1.803555622235405
4,7.0,-0.18620780760542524
5,7.0,-0.18620780760542524
6,7.25,-0.18620780760542524
7,7.0,0.31921338446644354
8,7.5,-0.18620780760542524
9,7.5,0.8246345765383123
10,7.0,0.8246345765383123
11,7.0,-0.18620780760542524
12,7.0,-0.18620780760542524
13,6.5,-0.18620780760542524
14,7.0,-1.1970501917491627
15,5.75,-0.18620780760542524
16,6.6,-2.713313767964769
17,7.2,-0.994881714920416
18,7.0,0.21812914605207012
19,7.0,-0.18620780760542524
20,7.75,-0.18620780760542524
21,7.2,1.330055768610181
22,7.25,0.21812914605207012
23,7.4,0.31921338446644354
24,7.4,0.6224660997095655
25,7.6,0.6224660997095655
26,7.75,1.0268030533670591
27,7.75,1.330055768610181
28,7.2,1.330055768610181
29,6.2,0.21812914605207012
30,7.0,-1.803555622235405
31,7.4,-0.18620780760542524
32,7.8,0.6224660997095655
33,7.5,1.4311400070245544
34,7.0,0.8246345765383123
35,7.6,-0.18620780760542524
36,7.4,1.0268030533670591
37,9.0,0.6224660997095655
0,7.4,2.1481180585725808
1,6.4,1.1482978184811168
2,6.6,-0.5180692483379906
3,7.2,-0.18479583497417032
4,6.6,0.815024405117295
5,6.4,-0.18479583497417032
6,5.666666666666667,-0.5180692483379906
7,6.8,-1.7400717640053363
8,6.5,0.14847757838965145
9,7.0,-0.35143254165608045
10,6.4,0.48175099175347325
11,6.0,-0.5180692483379906
12,5.6,-1.1846160750656343
13,6.0,-1.8511629017932778
14,6.5,-1.1846160750656343
15,6.0,-0.35143254165608045
16,5.4,-1.1846160750656343
17,6.0,-2.184436315157098
18,5.8,-1.1846160750656343
19,6.4,-1.517889488429456
20,6.25,-0.5180692483379906
21,6.2,-0.7680243083608573
22,7.0,-0.8513426617018124
23,6.75,0.48175099175347325
24,7.0,0.06515922504869638
25,6.4,0.48175099175347325
26,7.2,-0.5180692483379906
27,6.6,0.815024405117295
28,7.0,-0.18479583497417032
29,7.0,0.48175099175347325
30,6.4,0.48175099175347325
31,7.0,-0.5180692483379906
32,6.6,0.48175099175347325
33,7.25,-0.18479583497417032
34,7.0,0.8983427584582501
35,6.8,0.48175099175347325
36,7.2,0.14847757838965145
37,7.0,0.815024405117295
38,7.25,0.48175099175347325
39,6.6,0.8983427584582501
40,7.25,-0.18479583497417032
41,5.4,0.8983427584582501
42,7.2,-2.184436315157098
43,6.75,0.815024405117295
44,7.2,0.06515922504869638
45,8.0,0.815024405117295
46,7.0,2.1481180585725808
47,7.0,0.48175099175347325
48,7.0,0.48175099175347325
49,8.0,0.48175099175347325
50,7.0,2.1481180585725808
51,7.333333333333333,0.48175099175347325
0,7.8,-0.25921142397575564
1,7.0,0.6174711156495689
2,6.4,-0.25921142397575564
3,6.6,-0.9167233286947488
4,7.0,-0.6975526937884184
5,7.8,-0.25921142397575564
6,6.4,0.6174711156495689
7,6.4,-0.9167233286947488
8,8.4,-0.9167233286947488
9,7.4,1.274983020368563
10,8.8,0.17912984583690708
11,7.6,1.7133242901812258
12,8.4,0.3983004807432375
13,7.4,1.274983020368563
14,7.6,0.17912984583690708
15,7.2,0.3983004807432375
16,6.2,-0.040040789069424286
17,7.0,-1.1358939636010803
18,7.5,-0.25921142397575564
19,7.4,0.2887151632900723
20,7.6,0.17912984583690708
21,7.8,0.3983004807432375
22,6.8,0.6174711156495689
23,6.25,-0.478382058882087
